bf3689e	sdimunzio	2016-05-30 16:28:22 -0300	Merge branch 'master' into indicators
888e4d0	Daniel Oliva	2016-05-30 16:21:05 -0300	Merge pull request #67 from devgateway/Sprint7
06a746c	Daniel Oliva Bianco	2016-05-30 16:19:15 -0300	Fix for endpoint name
1b11f2a	Daniel Oliva Bianco	2016-05-30 16:15:01 -0300	Fix for date param
9bf3c9b	Daniel Oliva Bianco	2016-05-30 16:04:57 -0300	GEOPH-290 - Refactor Dates filters used in endpoint to match new requirements
0e9536e	sdimunzio	2016-05-30 15:36:30 -0300	indicators form
0c8319b	Daniel Oliva	2016-05-27 15:13:57 -0300	Merge pull request #66 from devgateway/Sprint7
bfd4c5b	Daniel Oliva Bianco	2016-05-27 14:48:43 -0300	GEOPH-292 - Upload province and municipality shapes
c86edf7	Daniel Oliva Bianco	2016-05-26 17:14:14 -0300	GEOPH-293 - Import new region 'Negros' into DB and adjust location data accordingly
8ed7fd5	mbertoli	2016-05-26 10:14:05 -0300	Merge pull request #65 from devgateway/Sprint7
4c41287	Daniel Oliva Bianco	2016-05-26 09:38:30 -0300	GEOPH-294 - Create a non paginated endpoint to return the project list GEOPH-295 - Create a stats endpoint to retrieve project count based on applied filters GEOPH-142 - Filters - Order of options displayed in the tree should always be ASC
aa0b1f0	Daniel Oliva Bianco	2016-05-25 13:25:48 -0300	GEOPH-46 - Implement Statistical indicators - Statistical Layer (from external source) (Back End)
30447bb	Daniel Oliva	2016-05-20 10:20:05 -0300	Merge pull request #64 from devgateway/Sprint6
c7475d9	Daniel Oliva Bianco	2016-05-20 10:16:03 -0300	Add locations from the most inner adm level
fbb6ee0	Daniel Oliva	2016-05-19 14:04:38 -0300	Merge pull request #63 from devgateway/Sprint6
3077413	Daniel Oliva Bianco	2016-05-19 14:03:18 -0300	Add latest grant file to the db
ed5e7c3	Daniel Oliva	2016-05-18 16:35:58 -0300	Merge pull request #62 from devgateway/Sprint6
831d64a	Daniel Oliva Bianco	2016-05-18 16:34:32 -0300	GEOPH-252 Troubleshoot staging with dataset provided by NEDA
21c518c	Daniel Oliva	2016-05-18 13:11:30 -0300	Merge pull request #61 from devgateway/Sprint6
942e131	Daniel Oliva Bianco	2016-05-18 13:08:30 -0300	Add endpoint for @mbertoli and finish implementation of GEOPH-272 - Filters - Financial amount Section Filter (Back End)
1ed782a	mbertoli	2016-05-17 10:20:50 -0300	Merge pull request #60 from devgateway/filters-bugfixing
8fdfca7	mbertoli	2016-05-17 10:19:02 -0300	several filters styles
483e0a1	Daniel Oliva Bianco	2016-05-16 17:44:04 -0300	GEOPH-272 - Filters - Financial amount Section Filter (Back End)
e3ac44e	Daniel Oliva	2016-05-16 15:49:36 -0300	Merge pull request #59 from devgateway/Sprint6
201014e	Daniel Oliva Bianco	2016-05-16 15:42:25 -0300	Add grant_sub_type table for GEOPH-154 Funding Tab - Funding Type sub tab (Back End) Fix for: GEOPH-273 Total Funding Layer displays all regions with same color
17611ab	mbertoli	2016-05-13 16:18:27 -0300	fix missed line
fc65224	Daniel Oliva	2016-05-13 16:09:29 -0300	Merge pull request #58 from devgateway/Sprint6
6d4c19e	mbertoli	2016-05-13 15:58:18 -0300	Merge branch 'master' into filters-bugfixing
f521c68	mbertoli	2016-05-13 15:56:49 -0300	Add new filters available
33f917b	Daniel Oliva Bianco	2016-05-13 13:18:55 -0300	delete log file
0ffb84c	Daniel Oliva Bianco	2016-05-13 13:17:45 -0300	add csv functionality for GEOPH-161 Data Export
a0b6f6a	Daniel Oliva Bianco	2016-05-12 20:02:55 -0300	Create excel file
c2b6731	Daniel Oliva	2016-05-12 10:42:03 -0300	Merge pull request #57 from devgateway/GrantsImport
90b43e9	Daniel Oliva Bianco	2016-05-11 20:48:12 -0300	Fix for GEOPH-213 - Decimal aggregation is displayed in Commitments, Disbursements and Expenditures even when no transaction has decimals
30dadb5	Daniel Oliva Bianco	2016-05-10 18:02:13 -0300	Add geo tagged photos to the app
a841aa1	mbertoli	2016-05-10 10:10:56 -0300	Merge pull request #52 from devgateway/map_popup
433ca3e	Daniel Oliva	2016-05-06 18:53:57 -0300	Merge pull request #56 from devgateway/GrantsImport
7ee98cf	Daniel Oliva Bianco	2016-05-06 18:52:43 -0300	Add mock data
63eb241	Daniel Oliva	2016-05-06 18:43:51 -0300	Merge pull request #55 from devgateway/GrantsImport
acd2537	Daniel Oliva Bianco	2016-05-06 18:42:19 -0300	Revert "GEOPH-154 - Funding Tab - Funding Type sub tab (Back End)"
d0b1f9a	Daniel Oliva Bianco	2016-05-06 18:02:43 -0300	Fix for project locations
a1734c1	Daniel Oliva	2016-05-06 16:41:42 -0300	Merge pull request #54 from devgateway/GrantsImport
b91d0b4	Daniel Oliva Bianco	2016-05-06 16:41:14 -0300	script
62f1b5d	Daniel Oliva	2016-05-06 16:37:00 -0300	Merge pull request #53 from devgateway/GrantsImport
6270cd7	Daniel Oliva Bianco	2016-05-06 16:09:49 -0300	Add Implementing Agencies
c659b30	mbertoli	2016-05-05 13:00:47 -0300	Merge branch 'master' into map_popup
798bd58	mbertoli	2016-05-05 12:59:10 -0300	map popup implementation
0cb33ed	Daniel Oliva	2016-05-03 15:28:37 -0300	Merge pull request #51 from devgateway/Sprint5Backend
d0dbc21	Daniel Oliva Bianco	2016-05-03 15:10:47 -0300	Print option using selenium, since ui4j is not working in linux...
de0eb7c	Daniel Oliva	2016-05-03 11:03:08 -0300	Merge pull request #50 from devgateway/Sprint5Backend
d6df9c6	Daniel Oliva Bianco	2016-05-03 10:45:30 -0300	Print version using ui4j
4630d1d	Daniel Oliva Bianco	2016-05-02 15:17:19 -0300	Add spring cache instead of ehCache
5e039dd	Daniel Oliva Bianco	2016-04-29 15:27:53 -0300	GEOPH-25 Implement Geotagged Photos layer (Back End) GEOPH-194 Convert kml to postgis
b34a71e	mbertoli	2016-04-29 10:32:52 -0300	basic popup
7862ca3	sdimunzio	2016-04-28 01:03:11 -0300	Layer control almost done
d6f0556	Sebastian Dimunzio	2016-04-27 12:36:49 -0300	Merge pull request #49 from devgateway/layers/control_inmutable
91c2a4c	sdimunzio	2016-04-27 12:29:41 -0300	web pack config
4ee49c6	Sebastian Dimunzio	2016-04-27 12:19:26 -0300	Merge pull request #48 from devgateway/layers/control_inmutable
4d13192	sdimunzio	2016-04-27 11:40:48 -0300	Merge remote-tracking branch 'origin/master' into layers/control_inmutable
ca35df1	Daniel Oliva	2016-04-27 10:22:11 -0300	Merge pull request #47 from devgateway/Sprint5Backend
e4af2dc	sdimunzio	2016-04-27 10:03:10 -0300	settings
6bd3eca	sdimunzio	2016-04-27 09:56:25 -0300	adding settings to control
56b8b9b	Sebastian Dimunzio	2016-04-27 09:55:16 -0300	Merge pull request #46 from devgateway/filters
